mcg,gvh,almScore,mitScore,PresenceOfHDEL,pox,vacScore,nucScore,Protien Localization
0.58,0.61,4.7,1.3,No,0,4.8,2.2,Mitochondrial
0.43,0.67,4.8,2.7,No,0,5.3,2.2,Mitochondrial
0.64,0.62,4.9,1.5,No,0,5.3,2.2,Mitochondrial
0.58,0.44,5.7,1.3,No,0,5.4,2.2,Nuclear
0.42,0.44,4.8,5.4,No,0,4.8,2.2,Mitochondrial
0.51,0.4,5.6,1.7,No,0.5,4.9,2.2,Cytoskeletal
0.5,0.54,4.8,6.5,No,0,5.3,2.2,Mitochondrial
0.48,0.45,5.9,2,No,0,5.8,3.4,Nuclear
0.55,0.5,6.6,3.6,No,0,4.9,2.2,Mitochondrial
0.4,0.39,6,1.5,No,0,5.8,3,Cytoskeletal
0.43,0.39,5.4,2.1,No,0,5.3,2.7,Nuclear
0.42,0.37,5.9,2,No,0,5.2,2.9,Nuclear
0.4,0.42,5.7,3.5,No,0,5.3,2.5,Cytoskeletal
0.6,0.4,5.2,4.6,No,0,5.3,2.2,Mitochondrial
0.66,0.55,4.5,1.9,No,0,4.6,2.2,Mitochondrial
0.46,0.44,5.2,1.1,No,0,5,2.2,Cytoskeletal
0.47,0.39,5,1.1,No,0,4.9,4,Cytoskeletal
0.58,0.47,5.4,1.1,No,0,5.1,2.6,Nuclear
0.5,0.34,5.5,2.1,No,0,4.9,2.2,Nuclear
0.61,0.6,5.5,2.1,No,0,5,2.5,Nuclear
0.45,0.4,5,1.6,No,0,5,2.2,Cytoskeletal
0.43,0.44,4.8,2.2,No,0,5.1,2.2,Cytoskeletal
0.73,0.63,4.2,3,No,0,4.9,2.2,Cytoskeletal
0.43,0.53,5.2,1.3,No,0,5.5,2.2,Cytoskeletal
0.46,0.53,5.2,1.5,No,0,5.8,2.2,Cytoskeletal
0.51,0.51,5.2,5.1,No,0,5.4,2.2,Mitochondrial
0.59,0.45,5.3,1.9,No,0,5.9,2.7,Cytoskeletal
0.57,0.47,6,1.8,No,0,5.1,2.2,Cytoskeletal
0.63,0.67,5.7,2.4,No,0,4.9,2.2,Mitochondrial
0.53,0.54,4.3,1,No,0,5.7,3.2,Nuclear
0.51,0.51,4.3,8.7,No,0,5.2,2.2,Mitochondrial
0.38,0.61,6.1,1.2,No,0,5.3,4.7,Cytoskeletal
0.33,0.55,5.1,4.3,No,0,5.1,2.2,Nuclear
0.72,0.61,4.5,3,No,0,5.4,2.5,Mitochondrial
0.4,0.45,5.7,1.8,No,0,5.6,2.6,Cytoskeletal
0.59,0.53,4.3,4.4,No,0,5,2.2,Mitochondrial
0.57,0.53,5.3,3.4,No,0,5.3,2.2,Mitochondrial
0.41,0.54,3.9,2,No,0,5.1,2.2,ME3
0.53,0.31,5.8,3.9,No,0,4.7,3.7,Nuclear
0.42,0.24,3.4,1.6,No,0,5,2.2,ME3
0.48,0.39,5.1,2.1,No,0,5.2,2.8,Cytoskeletal
0.41,0.53,4.5,1.4,No,0,5.2,6.6,ME3
0.45,0.46,5.5,4.3,No,0,5.5,3.8,Nuclear
0.56,0.48,5.8,2.7,No,0,5.1,2.2,Cytoskeletal
0.64,0.59,5.6,2.3,No,0,4.6,2.2,Cytoskeletal
0.64,0.56,5.6,2.2,No,0,4.5,2.2,Cytoskeletal
0.66,0.62,4.9,1,No,0,4.9,2.2,Cytoskeletal
0.53,0.44,5.1,3.3,No,0,5.5,2.2,Cytoskeletal
0.38,0.49,5.3,1.9,No,0,5,2.2,Cytoskeletal
0.45,0.58,4.8,6.7,No,0,5.2,2.2,Mitochondrial
0.43,0.35,5.2,5.2,No,0,5.4,2.2,Mitochondrial
0.37,0.32,4.7,1.8,No,0,4.5,2.5,Nuclear
0.48,0.43,5.1,3.2,No,0,5.2,4.3,Nuclear
0.41,0.46,5.9,1.9,No,0,5.8,2.7,Nuclear
0.54,0.48,4.4,0.8,No,0,5.2,2.7,Cytoskeletal
0.6,0.47,4.5,2.2,No,0,5.1,2.9,Cytoskeletal
0.34,0.46,5.7,0.9,No,0,5.5,2.2,Cytoskeletal
0.48,0.54,5.5,1.2,No,0,5.1,2.2,Cytoskeletal
0.47,0.39,5.9,1.5,No,0,5.7,2.2,Cytoskeletal
0.48,0.42,5.2,2.4,No,0,5.6,2.2,Cytoskeletal
0.58,0.51,4.9,2.7,No,0,5.7,2.9,Cytoskeletal
0.6,0.5,4.4,6.1,No,0,4.7,2.2,Mitochondrial
0.45,0.55,5.4,6.6,No,0,4.7,2.2,Mitochondrial
0.46,0.49,5.8,2.3,No,0,4.4,2.2,Mitochondrial
0.49,0.42,5.6,5.5,No,0,4.2,2.5,Mitochondrial
0.63,0.53,5.4,4,No,0,5,2.2,Mitochondrial
0.5,0.54,5.3,5.4,No,0,5.1,2.7,Mitochondrial
0.63,0.57,5.9,4,No,0,3.8,2.2,Mitochondrial
0.43,0.57,5.1,4.9,No,0,4.8,2.2,Mitochondrial
0.48,0.45,5.5,5,No,0,5.3,2.2,Mitochondrial
0.5,0.58,4.6,4.6,No,0,4.6,2.2,Mitochondrial
0.51,0.54,6,5.7,No,0,5.8,2.2,Mitochondrial
0.54,0.52,6.3,3.7,No,0,4.6,2.2,Mitochondrial
0.67,0.62,4,4.3,No,0.83,5,2.2,Mitochondrial
0.28,0.58,2.1,1.3,No,0,5.1,2.2,ME3
0.39,0.44,3.5,1.6,No,0,5.5,2.2,ME3
0.5,0.52,5.9,3,No,0,5.1,3.5,Nuclear
0.42,0.47,5.2,4.1,No,0,5.3,3.2,Cytoskeletal
0.36,0.46,6.2,4.6,No,0,5.1,3.3,Cytoskeletal
0.46,0.38,4.7,2.2,No,0,5.2,2.7,Mitochondrial
0.4,0.45,5.6,2,No,0,4.5,2.2,Cytoskeletal
0.33,0.43,6.4,1.6,No,0,5.2,5.2,Nuclear
0.49,0.61,4.9,2.5,No,0,5,2.8,Cytoskeletal
0.38,0.5,3.7,2.6,No,0,4.3,2.2,ME3
0.61,0.72,3.9,3.3,No,0,5.8,2.2,Mitochondrial
0.78,0.75,4,2.8,No,0,5.3,2.2,Mitochondrial
0.64,0.57,5.7,2.7,No,0,3.7,2.2,Cytoskeletal
0.36,0.58,3.5,2.4,No,0,4.4,2.2,ME3
0.36,0.43,3.9,1.2,No,0,4.9,2.2,ME3
0.47,0.52,5,4,No,0,4.1,2.2,Cytoskeletal
0.48,0.23,5.7,2.7,No,0,4.8,4.7,Nuclear
0.47,0.39,5.5,2.4,No,0,4.7,2.2,Cytoskeletal
0.44,0.59,3.6,1.6,No,0,5.2,2.2,ME3
0.42,0.35,5.4,1.8,No,0,5.6,2.2,Cytoskeletal
0.3,0.56,5.5,1.8,No,0,5,2.2,Cytoskeletal
0.65,0.65,5.2,1.6,No,0,6,2.2,Cytoskeletal
0.27,0.6,4.8,2.3,No,0,5.5,2.2,Cytoskeletal
0.44,0.52,4.1,2.3,No,0,5.1,2.2,Nuclear
0.3,0.32,5.7,1.9,No,0,4.8,5.5,Nuclear
0.4,0.44,4.9,4.7,No,0,4.9,2.7,Nuclear
0.45,0.51,5,1.6,No,0,5.2,10,Nuclear
0.45,0.45,5,6,No,0,4.9,2.2,Mitochondrial
0.59,0.67,5.6,4.1,No,0,4.7,2.2,Mitochondrial
0.47,0.47,5.7,4.8,No,0,4.8,2.2,Mitochondrial
0.35,0.52,4.8,2.2,No,0,2.6,2.2,Mitochondrial
0.47,0.41,6.6,2.6,No,0,5.3,2.2,Mitochondrial
0.64,0.62,2.9,2.8,No,0,5.1,2.2,Mitochondrial
0.55,0.53,5.5,4.6,No,0,5.2,2.2,Mitochondrial
0.67,0.62,5.4,4.3,No,0,5.3,2.2,Mitochondrial
0.59,0.6,4.9,4.3,No,0,5.3,3.1,Mitochondrial
0.54,0.55,3.4,3.1,No,0,5.4,2.2,ME3
0.58,0.62,5.4,1.7,No,0,4.8,2.2,Mitochondrial
0.4,0.38,5.3,1.6,No,0,5.2,2.7,Nuclear
0.46,0.71,4.8,5.3,No,0,5.3,2.2,Mitochondrial
0.53,0.51,5.5,0.5,No,0,4.5,2.5,Nuclear
0.41,0.4,5.9,4.7,No,0,4.8,4.3,Cytoskeletal
0.5,0.64,5.7,1.5,No,0,4.7,2.2,Cytoskeletal
0.4,0.62,5.2,3.1,No,0,4.9,3.1,Cytoskeletal
0.6,0.5,5.7,2.5,No,0,4.1,2.6,Cytoskeletal
0.62,0.51,5.2,4.2,No,0,5.4,2.7,Nuclear
0.35,0.58,5.4,1.6,No,0,5.1,2.2,Nuclear
0.34,0.54,5,2.1,No,0,5.4,3.1,Cytoskeletal
0.39,0.58,5,2.6,No,0,5.4,5.9,ME3
0.48,0.54,5,1.7,No,0,5.3,2.2,Nuclear
0.29,0.32,5.8,1.5,No,0,5,3,Cytoskeletal
0.47,0.32,6.4,3,No,0,6.3,2.2,Nuclear
0.39,0.47,5.6,1.6,No,0,4.7,2.2,Cytoskeletal
0.58,0.48,5.1,4.7,No,0,5.5,2.2,Nuclear
0.64,0.6,5.7,1.9,No,0,4.3,2.2,Nuclear
0.37,0.46,4,2.7,No,0,4.5,2.2,Nuclear
0.43,0.57,5.3,1.6,No,0,5.4,2.2,Cytoskeletal
0.28,0.37,6.1,0.9,No,0,5.2,5.5,Nuclear
0.59,0.48,5,1.4,No,0,4.5,2.5,Cytoskeletal
0.39,0.55,4.8,3.1,No,0,5.4,2.9,Cytoskeletal
0.26,0.36,4.7,3.4,No,0,5.3,7.2,Nuclear
0.51,0.34,5,1.9,No,0,5,2.2,Nuclear
0.58,0.5,5,1.2,No,0,4.8,2.5,Nuclear
0.44,0.39,5.3,1.4,No,0,5.4,4.4,Cytoskeletal
0.41,0.39,4.4,3.4,No,0,4.8,4,Nuclear
0.45,0.43,5.1,2.4,No,0,5.4,3.3,Cytoskeletal
0.36,0.68,4.6,1.6,No,0,5.3,2.8,Nuclear
0.42,0.31,5,1.5,No,0,5.3,2.2,Nuclear
0.42,0.43,5.6,1,No,0,4.9,2.2,Cytoskeletal
0.67,0.71,5.2,6.5,No,0,5.3,3.6,Nuclear
0.49,0.47,5.3,1.6,No,0,4.8,2.7,Nuclear
0.71,0.59,4.8,4.3,No,0,5.9,2.2,Mitochondrial
0.4,0.42,7.1,2.1,No,0,5.4,3.2,Cytoskeletal
0.4,0.42,7.1,2.1,No,0,5.4,3.2,Cytoskeletal
0.54,0.49,4.9,2,No,0,5.2,2.2,Cytoskeletal
0.42,0.51,5,1.2,No,0,5.2,4.6,Nuclear
0.57,0.51,5.3,1.8,No,0,5.6,2.5,Nuclear
0.35,0.45,4.3,1.1,No,0,5.6,2.2,ME3
0.42,0.42,4.2,2,No,0,4.9,2.2,ME3
0.26,0.5,3.3,2.8,No,0,5.1,2.2,ME3
0.39,0.42,3.8,4,No,0,4.9,4.7,ME3
0.26,0.44,3,1.1,No,0,5.1,4.7,ME3
0.31,0.44,5.3,2.3,No,0,5.1,3.2,Nuclear
0.48,0.61,4.4,2,No,0,4.7,2.2,Cytoskeletal
0.66,0.45,5,2.3,No,0,4.9,2.2,Cytoskeletal
0.21,0.41,5.5,1.1,No,0,5,2.7,Cytoskeletal
0.38,0.68,4.4,4.5,No,0,5.3,2.2,Mitochondrial
0.31,0.31,5.6,3.3,No,0,5.2,3.3,Nuclear
0.49,0.31,4.9,3.5,No,0,5.1,2.9,Nuclear
0.38,0.37,5.6,2.1,No,0,4.9,2.2,Nuclear
0.39,0.4,5.3,6.7,No,0,4.7,2.2,Cytoskeletal
0.24,0.34,6.9,1.8,No,0,5.2,2.2,Cytoskeletal
0.49,0.43,5.1,1.3,No,0,4.7,2.2,Cytoskeletal
0.54,0.38,5.2,1.8,No,0,4.8,2.2,Cytoskeletal
0.43,0.57,5.3,5.3,No,0,5.3,2.5,Cytoskeletal
0.48,0.64,6.1,2.3,No,0,6,2.2,Cytoskeletal
0.31,0.55,5.2,1.7,No,0,5.2,2.2,Cytoskeletal
0.32,0.57,5,1.5,No,0,5.3,2.2,Cytoskeletal
0.32,0.42,5.2,2.4,No,0,6,2.2,Cytoskeletal
0.59,0.5,5.2,2.8,No,0,5.5,2.5,Cytoskeletal
0.37,0.42,5.1,1.1,No,0,5.7,2.2,Cytoskeletal
0.61,0.72,3.1,3.3,No,0,5.6,2.2,Mitochondrial
0.44,0.42,6,2.1,No,0,5.7,2.2,Cytoskeletal
0.52,0.51,5.1,5.4,No,0,5.5,2.7,Mitochondrial
0.63,0.56,4.5,5.8,No,0,5.1,2.2,Mitochondrial
0.52,0.56,5.4,5.3,No,0,4.5,2.2,Mitochondrial
0.58,0.58,5.8,4.9,No,0,4.9,2.6,Mitochondrial
0.72,0.62,3.4,2.9,No,0,5.6,2.8,Mitochondrial
0.72,0.61,3.7,3,No,0,5.7,2.2,Mitochondrial
0.46,0.43,3.8,3.3,No,0,4.8,2.8,Mitochondrial
0.57,0.57,4.4,3.7,No,0,5.2,2.5,Mitochondrial
0.42,0.31,6.2,1.2,No,0,4,2.2,Mitochondrial
0.49,0.46,4.5,4.5,No,0,5.2,2.2,Mitochondrial
0.42,0.58,4.1,6.5,No,0,4.6,2.6,Mitochondrial
0.59,0.61,3.4,2.2,No,0,5.1,2.2,Mitochondrial
0.52,0.77,3.8,3.4,No,0,5.1,2.2,Mitochondrial
0.5,0.52,6,5.1,No,0,4.8,2.2,Mitochondrial
0.49,0.6,4.3,5.6,No,0,3.6,2.2,Mitochondrial
0.5,0.41,4.4,5,No,0,4.2,2.2,Mitochondrial
0.5,0.4,5.6,7,No,0,5,2.2,Mitochondrial
0.37,0.58,4.4,5.1,No,0,4.4,2.2,Mitochondrial
0.55,0.45,4.5,5.4,No,0,5,2.2,Mitochondrial
0.67,0.68,4.6,2.9,No,0,4.6,2.2,Mitochondrial
0.53,0.51,4.6,2.8,No,0,4.8,2.2,Cytoskeletal
0.35,0.66,4.9,2.1,No,0,5.4,2.5,Cytoskeletal
0.52,0.4,6,1.2,No,0,5.5,2.2,Cytoskeletal
0.47,0.46,5.9,4.9,No,0,5.6,2.2,Mitochondrial
0.47,0.54,3.7,1.4,No,0,5,2.2,ME3
0.56,0.52,4.8,1.7,No,0,4.6,2.2,Nuclear
0.57,0.41,5.9,2.4,No,0,4,2.2,Cytoskeletal
0.56,0.41,5.8,2.1,No,0,4.2,2.2,Cytoskeletal
0.58,0.56,4.5,1.2,No,0,5.1,2.2,Nuclear
0.53,0.38,6.6,2.5,No,0,4.3,2.2,Nuclear
0.34,0.36,5.4,1.1,No,0,3.6,2.1,Nuclear
0.41,0.45,5.3,1.7,No,0,5.1,2.5,Nuclear
0.31,0.46,5.4,5.2,No,0,5,3.4,Nuclear
0.36,0.37,3.3,1.4,No,0,5.7,3.1,ME3
0.41,0.51,5.8,1.5,No,0,4.5,2.7,Cytoskeletal
0.38,0.51,7.5,1.7,No,0,5.5,2.2,Cytoskeletal
0.38,0.51,7.5,1.7,No,0,5.5,2.2,Cytoskeletal
0.53,0.44,5.1,3.3,No,0,5.2,2.2,Mitochondrial
0.46,0.54,7.1,1.5,No,0,5.9,2.2,Mitochondrial
0.4,0.56,4.8,1.4,No,0,4.7,2.2,Mitochondrial
0.53,0.53,6,1.3,No,0,4.9,2.2,Mitochondrial
0.42,0.57,7.2,2.2,No,0,5.7,2.2,Mitochondrial
0.45,0.27,5.7,3.6,No,0,5.2,1.8,Cytoskeletal
0.2,0.26,5.2,1.4,No,0,5.3,4.4,Cytoskeletal
0.51,0.53,5.5,1.4,No,0,5.1,2.2,Cytoskeletal
0.44,0.68,4.5,5.1,No,0,5.2,4.1,Mitochondrial
0.27,0.39,6.6,1.1,No,0,4.4,2.2,Mitochondrial
0.55,0.42,3.4,3,No,0,5.2,2.2,ME3
0.34,0.42,3,2.3,No,0,5.3,2.2,ME3
0.59,0.58,5.6,2.1,No,0,5.4,3.3,Nuclear
0.39,0.28,4.6,1.2,No,0,4.1,2.2,Nuclear
0.56,0.43,5.4,1.6,No,0,5,2.2,Nuclear
0.27,0.36,6,3.3,No,0,3.7,3.1,Nuclear
0.35,0.4,5.9,2.2,No,0,4.7,3.7,Nuclear
0.42,0.32,5,2.1,No,0,5.1,2.2,Nuclear
0.23,0.2,5.3,2,No,0,4.4,2.2,Nuclear
0.55,0.54,5.6,2.2,No,0,5,3.7,Nuclear
0.36,0.24,4.9,1.6,No,0,5.1,2.2,Nuclear
0.38,0.48,5.9,2.2,No,0,4.6,2.2,Cytoskeletal
0.8,0.46,5,1.5,No,0,5.3,2.2,Cytoskeletal
0.6,0.56,4.7,2,No,0,5,3.8,Nuclear
0.41,0.24,5.4,2.6,No,0,4.1,2.2,Nuclear
0.47,0.65,5.4,6.2,No,0,5.3,3.6,Mitochondrial
0.43,0.39,5.4,1.4,No,0,4.7,2.2,Nuclear
0.5,0.51,5.2,0.9,No,0,4.8,2.5,Nuclear
0.53,0.61,5.2,2.1,No,0,5.5,3,Nuclear
0.46,0.35,5.3,1.6,No,0,5.1,2.9,Cytoskeletal
0.46,0.43,4.9,7.9,No,0,4.9,6.3,Nuclear
0.51,0.55,3.5,1.6,No,0,5.1,4.7,ME3
0.56,0.52,5.5,1.9,No,0,5.4,2.2,Cytoskeletal
0.61,0.3,5.9,1.2,No,0,4.9,2.7,Nuclear
0.37,0.53,4.6,2.3,No,0,4.7,2.2,Nuclear
0.39,0.45,5.3,1.8,No,0,5.4,2.2,Cytoskeletal
0.52,0.54,5,2.1,No,0,4.8,3,Cytoskeletal
0.35,0.39,5.7,1.1,No,0,4.8,2.2,Nuclear
0.36,0.49,3,2.2,No,0,5.2,3.1,ME3
0.55,0.46,5.3,1.1,No,0,5.2,4.8,Cytoskeletal
0.45,0.56,5.4,3.2,No,0,5.7,2.2,Cytoskeletal
0.45,0.56,5.3,3.2,No,0,5.7,2.2,Cytoskeletal
0.29,0.43,4,1.5,No,0,5.3,2.2,ME3
0.52,0.75,3.7,1.4,No,0,4.6,2.2,ME3
0.58,0.6,4.3,1.2,No,0,5.5,2.2,ME3
0.54,0.65,4.9,3.4,No,0,5.2,2.2,Cytoskeletal
0.59,0.58,4.6,1.9,No,0,5.6,2.7,Cytoskeletal
0.55,0.56,4.5,1.4,No,0,5.4,2.2,Cytoskeletal
0.63,0.61,4.1,2.2,No,0,5.1,2.2,ME3
0.58,0.53,3.8,1.8,No,0,5.2,2.2,ME3
0.36,0.46,4.3,1.9,No,0,4.8,2.2,ME3
0.32,0.47,5.5,1.2,No,0,5.2,2.2,Cytoskeletal
0.62,0.58,4.6,1.3,No,0,5.3,2.2,Cytoskeletal
0.53,0.68,4.2,1.9,No,0,5.3,2.2,ME3
0.55,0.46,4.6,3.1,No,0,5.8,4.8,Nuclear
0.35,0.6,4.7,1.3,No,0,5.2,4.3,Nuclear
0.35,0.46,4.9,1.5,Yes,0,5.5,3.5,Cytoskeletal
0.43,0.51,4.8,1.4,No,0,5,2.2,Cytoskeletal
0.57,0.61,4.5,2.6,No,0,5,2.2,Cytoskeletal
0.63,0.62,4.2,1.2,No,0,5.2,2.5,Cytoskeletal
0.25,0.4,5.1,1.8,No,0,5,2.7,Cytoskeletal
0.56,0.62,5.3,2.4,No,0,5.7,2.2,Cytoskeletal
0.58,0.6,5.1,2.4,No,0,5.3,2.2,Cytoskeletal
0.71,0.59,5.3,1.5,No,0,4.9,3.3,Cytoskeletal
0.46,0.35,3.3,1.7,No,0,5.5,2.2,ME3
0.54,0.55,4.2,2.2,No,0,4.8,2.2,ME3
0.39,0.44,2.8,1.2,No,0,4.6,2.7,ME3
0.33,0.44,4.9,0.8,No,0,4.8,4.9,Nuclear
0.35,0.36,5.7,1.7,No,0,5.2,2.2,Cytoskeletal
0.54,0.57,5.2,1.9,No,0,5.9,6.7,Nuclear
0.42,0.52,4,1.7,No,0,5,2.6,ME3
0.45,0.4,5.6,1.4,No,0,5.4,2.2,Cytoskeletal
0.47,0.47,5.8,1.6,No,0,4.9,2.8,Cytoskeletal
0.41,0.39,5.1,5.2,No,0,4.9,2.2,Cytoskeletal
0.37,0.34,3.2,2.2,No,0,5.6,2.2,ME3
0.69,0.6,5,3.1,No,0,5.5,2.2,Cytoskeletal
0.35,0.56,3.6,3,No,0,5.3,2.5,ME3
0.51,0.58,5.4,2.9,No,0,5.3,2.2,Cytoskeletal
0.37,0.43,6.2,2.7,No,0,4.8,2.2,Nuclear
0.55,0.66,5.7,3.2,No,0,5.7,3.4,Cytoskeletal
0.48,0.35,4.2,2.1,No,0,5.7,2.2,Cytoskeletal
0.62,0.58,5.2,1.5,No,0,5.2,2.9,Cytoskeletal
0.56,0.59,5.3,1.6,No,0,2.4,4.2,Nuclear
0.44,0.51,3.7,1.5,No,0,5.1,2.2,ME3
0.44,0.44,4.9,1.5,No,0,4.6,2.7,Nuclear
0.5,0.5,4.8,1.7,No,0,4.7,2.6,Cytoskeletal
0.6,0.6,4.9,3,No,0,5.3,2.2,Nuclear
0.49,0.46,3.4,2.1,No,0,5.5,2.2,ME3
0.35,0.68,5.7,4,No,0,5.3,3.6,Nuclear
0.23,0.3,5.8,2.2,No,0,4.8,2.7,Nuclear
0.45,0.42,5.2,2,No,0,5,2.5,Cytoskeletal
0.51,0.35,4.6,1.5,No,0,5.1,4.2,Cytoskeletal
0.42,0.39,4.7,1.3,No,0,5,2.7,Cytoskeletal
0.32,0.38,5.2,2,No,0,5.2,2.8,Cytoskeletal
0.59,0.65,5.2,3,No,0,4.6,3.1,Cytoskeletal
0.41,0.52,4.1,1.1,No,0,5.4,3.5,Cytoskeletal
0.37,0.33,5,1.2,No,0,5.1,5.4,Cytoskeletal
0.45,0.56,4.9,1.7,No,0,5.2,2.2,Cytoskeletal
0.56,0.54,5.9,1.4,No,0,5.2,2.7,Nuclear
0.31,0.31,5.4,1.8,No,0,5.2,2.9,Nuclear
0.27,0.51,4.7,3.5,No,0,4.9,2.8,Nuclear
0.54,0.56,5.7,1.8,No,0,4.5,2.5,Nuclear
0.17,0.38,4.5,0.9,No,0,5.4,2.7,Nuclear
0.43,0.51,5.4,1.5,No,0,4.5,2.6,Nuclear
0.6,0.4,5.9,1.8,No,0,4.8,2.2,Cytoskeletal
