mcg,gvh,almScore,mitScore,PresenceOfHDEL,pox,vacScore,nucScore,Protien Localization
0.49,0.45,4.6,1.8,No,0,4.9,3.1,Cytoskeletal
0.52,0.46,5.1,1.8,No,0,5,2.2,Cytoskeletal
0.55,0.59,5.2,1,No,0,5.3,2.2,Cytoskeletal
0.39,0.58,5,1,No,0,5.1,2.5,Cytoskeletal
0.33,0.38,4.5,1.9,No,0,5.4,3.7,Nuclear
0.61,0.46,4.4,4.7,No,0,5,3.7,Nuclear
0.41,0.48,3.8,1.3,No,0,5.1,3.5,ME3
0.37,0.42,6,1.3,No,0,5.1,2.2,Nuclear
0.45,0.58,5.9,4.4,No,0,5.6,2.2,Mitochondrial
0.67,0.46,5.8,3,No,0,5.7,2.7,Nuclear
0.5,0.32,4.9,4.9,No,0,4.8,3.2,Mitochondrial
0.45,0.53,4.7,4.3,No,0,5,2.7,Mitochondrial
0.75,0.6,4.3,3.5,No,0,4.5,2.7,Mitochondrial
0.56,0.68,5.2,3.9,No,0,3.6,2.2,Mitochondrial
0.48,0.45,5.9,3.5,No,0,5.5,3,Mitochondrial
0.26,0.28,6,2,No,0,5.4,3.1,Mitochondrial
0.59,0.45,5.8,2.1,No,0,4.9,2.2,Mitochondrial
0.48,0.52,4.9,3.5,No,0.5,5.1,2.2,Mitochondrial
0.59,0.58,4.7,6.1,No,0,4.4,3,Mitochondrial
0.5,0.57,6.2,2.5,No,0,5.1,2.2,Mitochondrial
0.57,0.49,5,2,No,0,5.1,2.8,Cytoskeletal
0.62,0.43,4.9,2.9,No,0,5,2.7,Cytoskeletal
0.45,0.41,4.9,1.4,Yes,0,5.3,3,Cytoskeletal
0.47,0.49,6,1.5,No,0,3.8,2.2,Cytoskeletal
0.41,0.48,5.4,2.4,No,0,3.7,5.1,Nuclear
0.46,0.46,5.3,2.3,No,0,5.1,2.2,Cytoskeletal
0.48,0.42,4.8,1.9,No,0,5.8,2.2,Cytoskeletal
0.43,0.45,5.3,1.9,No,0,5.6,2.2,Cytoskeletal
0.28,0.36,5.5,1.5,No,0,5.7,2.2,Cytoskeletal
0.48,0.46,5.8,2.6,No,0,4.4,2.2,Nuclear
0.38,0.62,5.2,1.4,No,0,5.3,2.2,Cytoskeletal
0.44,0.42,5.7,2.2,No,0,5,2.5,Nuclear
0.39,0.81,3.5,2.8,No,0,5.1,4.5,ME3
0.53,0.54,4.3,1.8,No,0,5.3,3.1,Nuclear
0.38,0.45,3.7,1.9,No,0,5.2,3,ME3
0.4,0.37,5.4,1.3,No,0,4.8,2.2,Nuclear
0.31,0.3,3.4,1.9,No,0,5.5,3,ME3
0.5,0.42,5.7,4.9,No,0,4.8,2.7,Nuclear
0.59,0.61,5.1,6.2,No,0,5.1,3.8,Mitochondrial
0.45,0.4,4.3,2.2,No,0,5.1,4.8,Nuclear
0.47,0.54,5.3,7.7,No,0,5.2,3.6,Mitochondrial
0.47,0.61,5,2.3,No,0,4.9,2.2,ME3
0.49,0.6,3,3.4,No,0,5,4.3,ME3
0.27,0.56,3,1.4,No,0,5.2,3.9,ME3
0.55,0.51,5.4,2,No,0,5.6,2.2,Cytoskeletal
0.44,0.43,3.4,2.1,No,0,5.5,4,ME3
0.39,0.49,3,1.9,No,0,5.2,3.1,ME3
0.38,0.48,5.1,1.3,No,0,5,3.2,Nuclear
0.37,0.51,3.9,1.8,No,0,5.1,2.7,ME3
0.27,0.49,3.6,2.6,No,0,4.9,2.6,ME3
0.49,0.48,5.2,2,No,0,5.5,2.2,Nuclear
0.36,0.39,5.4,1.6,No,0,5,2.8,Nuclear
0.54,0.53,4.8,1.4,No,0,4.9,3.3,Nuclear
0.37,0.48,5,2.6,No,0,5.2,3.9,Nuclear
0.25,0.39,5,2.3,No,0,5,2.8,Nuclear
0.49,0.71,5.4,1.3,No,0,5.8,2.2,Nuclear
0.56,0.5,5.6,2.6,No,0,5.3,2.7,Nuclear
0.41,0.53,4.1,1.5,No,0,5.4,2.5,Nuclear
0.5,0.45,5.3,2.1,No,0,2.8,2.2,Nuclear
0.66,0.55,3.4,2,No,0,6.2,2.2,ME3
0.42,0.65,5.8,3.4,No,0,5,2.2,Mitochondrial
0.45,0.47,5.3,1.5,No,0,5.2,2.7,Cytoskeletal
0.42,0.28,5.1,2.3,No,0,5.3,2.7,Nuclear
0.51,0.48,4.6,2.9,No,0,5.4,2.2,Cytoskeletal
0.55,0.63,5.4,1.6,No,0,4.5,2.7,Cytoskeletal
0.46,0.62,5.4,2.5,No,0,4.6,2.2,Cytoskeletal
0.53,0.59,4.8,1.4,No,0,5.1,2.2,Cytoskeletal
0.42,0.53,5.7,1.7,No,0,4.9,2.2,Cytoskeletal
0.52,0.46,5.6,2,No,0,5,2.2,Cytoskeletal
0.53,0.43,5.7,2.4,No,0,3.9,2.8,Cytoskeletal
0.33,0.35,5.6,1.9,No,0,5,2.2,Nuclear
0.45,0.48,5.6,5.6,No,0,4.7,2.2,Nuclear
0.56,0.48,5,1.7,No,0,5.1,2.6,Cytoskeletal
0.77,0.57,4.5,1.7,No,0,5.3,2.2,Cytoskeletal
0.56,0.59,5.4,1.8,No,0,4.8,4.6,Nuclear
0.33,0.39,5.2,0.9,No,0,4.7,2.8,Nuclear
0.48,0.41,5.4,3.9,No,0,5.1,2.2,Nuclear
0.3,0.3,4.6,3.2,No,0,4.5,2.2,Nuclear
0.38,0.26,6,1,No,0,4.8,4.4,Nuclear
0.68,0.39,5,1.5,No,0,4.8,3.7,Nuclear
0.62,0.41,5.2,1.7,No,0,4.8,2.2,Nuclear
0.52,0.37,4.8,1.3,No,0,5.5,2.2,Nuclear
0.32,0.48,4.9,1.7,No,0,4.7,2.2,Nuclear
0.34,0.35,5.8,2,No,0,4.6,3.2,Nuclear
0.33,0.21,5.3,1.5,Yes,0,5.2,5,Nuclear
0.49,0.45,5.7,2.4,No,0,4.7,3.8,Nuclear
0.4,0.28,4.8,0.6,No,0,4.9,4.2,Nuclear
0.51,0.39,5.6,2.5,No,0,5.1,3.3,Nuclear
0.45,0.45,5.2,1.7,No,0,5.4,2.2,Cytoskeletal
0.28,0.51,5.5,1.9,No,0,5.7,2.2,Cytoskeletal
0.51,0.51,5.6,2.8,No,0,5.4,2.7,Cytoskeletal
0.48,0.56,4.9,3.2,No,0,5,2.2,Cytoskeletal
0.59,0.46,4.8,4.6,No,0,4.9,2.2,Cytoskeletal
0.51,0.46,4,6.5,No,0,4.9,2.2,Mitochondrial
0.37,0.44,5.1,5.6,No,0,5,3.8,Nuclear
0.53,0.45,5.3,1.8,No,0,4.2,2.2,Cytoskeletal
0.45,0.27,5,3.3,No,0,5.3,2.6,Cytoskeletal
0.36,0.33,3.8,1.5,No,0,5.5,3.6,ME3
0.48,0.5,5.6,1.1,No,0,3.3,2.2,Cytoskeletal
0.35,0.47,5.3,1.9,No,0,4.8,2.2,Cytoskeletal
0.48,0.48,5.6,1.8,No,0,5.8,2.2,Cytoskeletal
0.6,0.59,4.7,4.7,No,0,5.3,2.2,Mitochondrial
0.45,0.53,5.1,4.2,No,0,5.2,2.2,Mitochondrial
0.29,0.4,4.1,4.8,No,0,5.3,3,Nuclear
0.58,0.53,3.3,2.6,No,0,5.1,2.2,ME3
0.46,0.43,5,2.4,No,0,4.8,3.1,Cytoskeletal
0.43,0.46,5,2.1,No,0,4.9,3.4,Cytoskeletal
0.61,0.55,5.1,2.6,No,0,5.2,2.2,Cytoskeletal
0.5,0.62,5.2,3,No,0,5.6,2.2,Mitochondrial
0.49,0.45,5.4,4,No,0,5.5,2.2,Mitochondrial
0.64,0.53,5.9,1.4,No,0,5.3,2.2,Mitochondrial
0.57,0.6,5.4,1.7,No,0,5.2,2.2,Mitochondrial
0.38,0.31,5.9,1.9,No,0,4.6,2.2,Mitochondrial
0.68,0.53,4.4,3.1,No,0,5.1,2.2,Mitochondrial
0.24,0.41,4.7,1.6,No,0,5.1,3.8,Nuclear
0.61,0.39,5.3,1.4,No,0,4.3,2.6,Nuclear
0.39,0.16,5.9,0.8,No,0,5.1,2.7,Nuclear
0.33,0.28,5,4,No,0,4.6,6.1,Nuclear
0.51,0.55,5.6,1.8,No,0,5,3.8,Nuclear
0.39,0.44,5.4,2.4,No,0,5.1,4.9,Nuclear
0.43,0.48,5.3,1.8,No,0,4.6,2.2,Nuclear
0.47,0.43,4.8,1.6,No,0,4.6,2.7,Nuclear
0.52,0.5,5.1,2,No,0,5.1,2.2,Nuclear
0.33,0.28,5.2,1.5,No,0,5.1,8.6,Nuclear
0.36,0.48,5,1.3,No,0,4.9,6,Nuclear
0.45,0.54,4.9,2.9,No,0,4.9,2.5,Nuclear
0.55,0.59,5.3,1.5,No,0,4.9,2.2,Nuclear
0.31,0.39,5.5,2.8,No,0,4.6,3.1,Nuclear
0.43,0.41,5.1,3.4,No,0,4.9,2.8,Nuclear
0.64,0.5,5.3,1,No,0,5.1,2.2,Nuclear
0.41,0.52,5.6,2.6,No,0,4.8,3.2,Nuclear
0.48,0.47,5.9,4.1,No,0,5.6,2.7,Nuclear
0.49,0.49,5.1,2.9,No,0,5.2,7.1,Nuclear
0.41,0.52,5.1,2.2,No,0,5.2,4.4,Nuclear
0.51,0.61,5,2.3,No,0,5.2,6.1,Nuclear
0.59,0.47,5.1,5.3,No,0,5.3,2.6,Cytoskeletal
0.4,0.6,5,1.6,No,0,5.1,2.2,Cytoskeletal
0.54,0.53,5.3,1.7,No,0,5.1,3.9,Nuclear
0.61,0.46,5.4,1.1,No,0,4.7,2.2,Cytoskeletal
0.66,0.55,5.4,1.8,No,0,4.3,2.2,Cytoskeletal
0.53,0.46,5.4,3.7,No,0,5.1,3,Nuclear
0.41,0.41,4.3,6.1,No,0,5.3,2.2,Mitochondrial
0.58,0.31,6,1.2,No,0,4.7,3.3,Nuclear
0.49,0.67,5,2.8,No,0,4.3,2.2,Nuclear
0.44,0.33,5.5,1.6,No,0,4.9,2.2,Nuclear
0.44,0.45,5.3,1.9,No,0,4.1,2.8,Nuclear
0.57,0.55,5.2,1.6,No,0,4.9,3.9,Nuclear
0.45,0.66,3.9,1.1,No,0,5.4,2.2,ME3
0.32,0.49,5.3,2.8,No,0,5,5,Nuclear
0.35,0.42,5.6,2.8,No,0,4.7,2.2,Nuclear
0.46,0.41,5.8,1,No,0,4.8,2.2,Nuclear
0.57,0.51,5.8,2.2,No,0,5.1,2.2,Nuclear
0.47,0.47,5.4,1.9,No,0,5.1,3.3,Nuclear
0.34,0.58,5,2.6,No,0,5.1,2.2,Nuclear
0.55,0.45,5.8,2.5,No,0,4.9,2.2,Nuclear
0.4,0.66,3.4,2.1,No,0,5.2,2.6,Nuclear
0.42,0.21,5.9,3,No,0,4.7,2.7,Nuclear
0.6,0.48,4.6,3.2,No,0,4,3.3,Cytoskeletal
0.64,0.44,5.1,3.5,No,0,5.3,2.2,Cytoskeletal
0.35,0.4,4.4,2.5,No,0,5.3,5.7,Nuclear
0.55,0.38,6.4,4.2,No,0,4.7,2.2,Mitochondrial
0.45,0.43,5,2.5,No,0,4.7,2.2,Mitochondrial
0.47,0.53,4.8,5.1,No,0,5.4,2.2,Mitochondrial
0.45,0.49,5.7,2.5,No,0,4.8,2.2,Nuclear
0.45,0.52,5,1.2,No,0,6,2.2,Cytoskeletal
0.56,0.51,3.2,4.9,No,0,4.8,2.2,Nuclear
0.37,0.58,5,2.2,No,0,4.7,2.2,Nuclear
0.47,0.45,5.1,3.3,No,0,4.6,2.6,Nuclear
0.5,0.36,6.4,3.7,No,0,3.7,3.3,Nuclear
0.43,0.44,6.4,1.9,No,0,3.8,3.3,Nuclear
0.38,0.4,5.9,2.5,No,0,4.4,2.2,Cytoskeletal
0.39,0.39,5.9,2.5,No,0,4.5,2.2,Cytoskeletal
0.54,0.55,5.6,1.4,No,0,5,2.5,Cytoskeletal
0.45,0.5,5.7,2.9,No,0,4.4,1.1,Cytoskeletal
0.45,0.5,5.7,2.9,No,0,4.4,1.1,Cytoskeletal
0.61,0.38,5.7,3.6,No,0,4.4,2.1,Cytoskeletal
0.61,0.38,5.7,3.6,No,0,4.4,2.1,Cytoskeletal
0.43,0.33,5.4,3.7,No,0,3.8,1.6,Cytoskeletal
0.43,0.33,5.4,3.7,No,0,3.8,1.6,Cytoskeletal
0.51,0.39,5.8,1.9,No,0,4.7,2.2,Cytoskeletal
0.72,0.51,5.2,0.8,No,0,5.4,2.2,Nuclear
0.35,0.41,5.3,2.7,No,0,4.7,2.9,Nuclear
0.56,0.49,5.4,1.5,No,0,5,3.5,Nuclear
0.57,0.37,4.3,2.7,No,0,5.3,2.8,Nuclear
0.57,0.49,6.1,2.6,No,0,5.2,2.2,Nuclear
0.48,0.45,6.3,1.9,No,0,5.8,2.2,Nuclear
0.34,0.48,4.7,1.9,No,0,5,3,Nuclear
0.54,0.57,5.5,1.8,No,0,5,2.2,Nuclear
0.38,0.44,5.5,4.4,No,0,4.7,5.1,Nuclear
0.4,0.3,5.7,1.3,No,0,4.6,2.2,Nuclear
0.27,0.31,5.5,1.3,No,0,5,2.2,Nuclear
0.52,0.46,5.6,2.5,No,0,5.2,2.2,Nuclear
0.44,0.5,5.5,2.4,No,0,4.8,2.2,Nuclear
0.34,0.47,4.8,3.2,No,0,4.2,2.2,Nuclear
0.5,0.56,6.3,2.5,No,0,4.2,2.2,Nuclear
0.46,0.53,4.7,3.7,No,0,5.1,3.6,Nuclear
0.31,0.6,6.5,1.8,No,0,4.6,2.2,Nuclear
0.57,0.42,6.3,2.2,No,0,6.8,3.2,Nuclear
0.37,0.45,5.3,1.4,No,0,4.9,2.2,Nuclear
0.38,0.38,5.4,2.4,No,0,5.4,2.2,Nuclear
0.36,0.49,5.5,2.1,No,0,5.5,3.3,Nuclear
0.29,0.4,5,1.6,No,0,5.1,3.4,Nuclear
0.37,0.3,5.1,1.5,No,0,5.8,2.6,Nuclear
0.35,0.33,4.8,4.2,No,0,4.7,4.3,Cytoskeletal
0.46,0.35,6.9,1.8,No,0,3,2.5,Cytoskeletal
0.46,0.35,6.9,1.8,No,0,3,2.5,Cytoskeletal
0.57,0.43,5.2,3,No,0,3.7,1.1,Cytoskeletal
0.57,0.43,5.2,3,No,0,3.7,1.1,Cytoskeletal
0.59,0.51,4.8,1.2,No,0,5.4,3.1,Cytoskeletal
0.59,0.51,4.8,1.2,No,0,5.4,3.1,Cytoskeletal
0.61,0.53,5.9,1.7,No,0,4.4,2.8,Cytoskeletal
0.61,0.48,5.6,1.9,No,0,5.3,3.1,Cytoskeletal
0.61,0.48,5.6,1.9,No,0,5.3,3.1,Cytoskeletal
0.44,0.56,5.2,1.8,No,0,5,1.1,Cytoskeletal
0.36,0.56,5.2,1.8,No,0,4.5,1.6,Cytoskeletal
0.37,0.44,6.4,4.8,No,0,3.6,2.7,Cytoskeletal
0.72,0.37,6.3,3.8,No,0,4,1.4,Cytoskeletal
0.72,0.37,6.3,3.8,No,0,4,1.4,Cytoskeletal
0.44,0.36,6.4,4.5,No,0,5.3,1.1,Cytoskeletal
0.58,0.45,5.5,2.7,No,0,4.8,1.1,Cytoskeletal
0.63,0.64,4.5,2.6,No,0,4.3,2.2,Cytoskeletal
0.63,0.64,4.5,2.6,No,0,4.3,2.2,Cytoskeletal
0.43,0.33,6.7,1.2,No,0,4.5,2.3,Cytoskeletal
0.43,0.33,6.7,1.2,No,0,4.3,2.3,Cytoskeletal
0.58,0.44,5,2.6,No,0,5.2,2.2,Cytoskeletal
0.38,0.43,5.3,2.2,No,0,4.8,1.1,Cytoskeletal
0.4,0.45,6.1,2.9,No,0,4.4,2.2,Cytoskeletal
0.4,0.45,6.1,2.9,No,0,4.4,2.2,Cytoskeletal
0.34,0.34,6.5,4,No,0,3.2,1.6,Cytoskeletal
0.34,0.34,6.5,4,No,0,3.2,1.6,Cytoskeletal
0.43,0.22,7.9,7.9,No,0,2.2,0,Cytoskeletal
0.35,0.21,10,8,No,0,1.3,0.1,Cytoskeletal
0.35,0.21,10,8,No,0,1.3,0.1,Cytoskeletal
0.56,0.35,4.7,4.1,No,0,5,2.2,Cytoskeletal
0.56,0.35,4.7,3.5,No,0,5.2,2.2,Cytoskeletal
0.54,0.44,5.5,4.8,No,0,4.7,2.2,Cytoskeletal
0.35,0.39,5.6,2,No,0,4.9,4.1,Cytoskeletal
0.48,0.46,5.8,1.6,No,0,4.5,2.2,Cytoskeletal
0.48,0.55,4.8,1,No,0,5.5,2.2,Cytoskeletal
0.66,0.6,5.2,1.9,No,0,6.9,2.2,Cytoskeletal
0.69,0.54,5.5,2.3,No,0,7.3,2.2,Cytoskeletal
0.73,0.6,4.7,2,No,0,7.2,2.2,Cytoskeletal
0.78,0.82,5.6,2.1,No,0,6.9,2.2,Cytoskeletal
0.42,0.49,4.9,3.6,No,0,5.7,2.6,Mitochondrial
0.44,0.62,5.3,2.7,No,0,4.9,2.2,Nuclear
0.56,0.61,5.2,1.9,No,0,5.2,3.2,Nuclear
0.47,0.56,4.6,5,No,0,5.1,2.2,Mitochondrial
0.46,0.33,4.5,2.2,No,0,4.1,3.7,Cytoskeletal
0.52,0.43,6.1,2.2,No,0,4.5,2.2,Cytoskeletal
0.52,0.43,6.1,2.2,No,0,4.5,2.2,Cytoskeletal
0.32,0.44,5.4,2.1,No,0,4,1.9,Cytoskeletal
0.32,0.44,5.4,2.1,No,0,4,1.9,Cytoskeletal
0.48,0.41,5.2,3.3,No,0,5.1,2.6,Cytoskeletal
0.46,0.39,5.4,2.2,No,0,4.8,2.5,Cytoskeletal
0.46,0.39,5.4,2.2,No,0,4.8,2.5,Cytoskeletal
0.42,0.5,6.4,1.3,No,0,4.9,2.2,Cytoskeletal
0.46,0.54,5.9,4.1,No,0,5.3,2.1,Cytoskeletal
0.46,0.54,5.9,4.1,No,0,5.3,2.1,Cytoskeletal
0.39,0.65,5.7,1.9,No,0,4.4,2.5,Cytoskeletal
0.39,0.65,5.7,1.9,No,0,4.3,2.5,Cytoskeletal
0.38,0.5,5.2,4.4,No,0,5.4,1.1,Cytoskeletal
0.38,0.5,5.2,4.4,No,0,5.4,1.1,Cytoskeletal
0.51,0.52,5.8,1.7,No,0,4.7,2.8,Cytoskeletal
0.57,0.48,5.4,2.2,No,0,5,1.1,Cytoskeletal
0.5,0.5,6.2,2.3,No,0,3.5,1.1,Cytoskeletal
0.41,0.49,6.5,2.8,No,0,5.9,5.7,Cytoskeletal
0.53,0.57,6,3.6,No,0,5,2.2,Cytoskeletal
0.53,0.57,6,3.6,No,0,5,2.2,Cytoskeletal
0.37,0.3,6.2,4.3,No,0,4.4,3.9,Cytoskeletal
0.37,0.3,6.2,4.3,No,0,4.4,3.9,Cytoskeletal
0.6,0.57,5.2,1.4,No,0,4.6,4.8,Nuclear
0.42,0.38,5.2,2.9,No,0,4.2,2.2,Nuclear
0.41,0.46,5.8,0.8,No,0,5.1,2.8,Nuclear
0.49,0.4,5.8,2.3,No,0,4.7,2.7,Cytoskeletal
0.37,0.37,5.1,3.8,No,0,4.4,2.2,Cytoskeletal
0.57,0.5,4,0.8,No,0,4.7,2.2,ME3
0.51,0.4,5,2.8,No,0,4.8,2.7,Cytoskeletal
0.34,0.25,5.5,2.8,No,0,5.1,4.9,Cytoskeletal
0.59,0.54,5.3,1.4,No,0,4.8,2.2,Cytoskeletal
0.5,0.48,4.8,2.3,No,0,5.3,6.8,Cytoskeletal
0.39,1,3.8,4.1,No,0,5,2.7,Mitochondrial
0.56,0.42,5.2,1.4,No,0,5.1,2.2,Cytoskeletal
0.39,0.46,3.3,1.8,No,0,5.3,2.2,ME3
0.52,0.54,4.7,4.9,No,0,5.4,2.2,Mitochondrial
0.46,0.49,5.5,1.8,No,0,5.6,2.2,Nuclear
0.56,0.65,4.9,5.6,No,0,4.9,2.2,Mitochondrial
0.53,0.51,5.5,5.7,No,0,4.6,2.2,Mitochondrial
0.54,0.64,4,5.6,No,0,5.1,2.2,Mitochondrial
0.47,0.58,4.7,5.2,No,0,5.4,2.2,Mitochondrial
0.46,0.42,5.1,1.6,No,0,5.6,2.2,Cytoskeletal
0.6,0.51,4.9,1.8,No,0,5.3,3.8,Cytoskeletal
0.49,0.38,5.6,0.9,No,0,4.6,2.2,Cytoskeletal
0.38,0.4,5.3,1.2,No,0,5.5,2.2,Cytoskeletal
0.55,0.55,5.2,1.3,No,0,5.3,2.5,Cytoskeletal
0.46,0.44,5.8,1.7,No,0,5.5,2.2,Cytoskeletal
0.34,0.46,5.2,1.9,No,0,5.3,2.6,Cytoskeletal
0.58,0.56,4.6,1.4,No,0,5.1,2.2,Cytoskeletal
0.44,0.71,5,2.1,No,0,5.4,2.7,Cytoskeletal
0.41,0.49,4.7,0.9,No,0,4.9,2.2,Cytoskeletal
0.44,0.51,5.3,3,No,0,5.3,2.2,Cytoskeletal
0.54,0.51,5.6,1.5,No,0,5.4,3.1,Cytoskeletal
0.51,0.51,3.2,2.7,No,0,5.4,2.2,ME3
0.46,0.38,5.1,2,No,0,5.1,2.2,Cytoskeletal
0.55,0.72,3.5,2.6,No,0,4.9,2.2,ME3
0.54,0.44,3.5,1.9,No,0,5.1,2.7,ME3
0.65,0.66,3.7,1.2,No,0,5.2,2.7,ME3
0.41,0.4,5.6,1.7,No,0,5.6,2.2,Cytoskeletal
0.59,0.55,5.7,1.8,No,0,5.1,2.2,Cytoskeletal
0.48,0.51,5,2.4,No,0,5.4,3.8,Cytoskeletal
0.39,0.3,6.3,2,No,0,4.3,4.7,Cytoskeletal
0.47,0.52,5.4,2.5,No,0,5.4,2.9,Mitochondrial
0.52,0.55,3.9,0.9,Yes,0,5.5,2.5,ME3
0.42,0.28,3.3,2.3,No,0,3.9,2.6,ME3
0.47,0.37,4.6,2.8,No,0,5.2,9.9,Nuclear
0.48,0.5,4.7,2.9,No,0,4.6,2.7,Nuclear
0.3,0.33,5.5,1.2,No,0,5.3,3.8,Cytoskeletal
0.49,0.49,5.2,1.8,No,0,5.1,2.5,Nuclear
0.54,0.59,5.7,3.4,No,0,4.9,2.2,Nuclear
0.56,0.59,4.5,1.5,No,0,5.4,2.2,Mitochondrial
0.47,0.56,5.3,4.4,No,0,5.3,2.2,Mitochondrial
0.53,0.49,4.7,2.1,No,0,5.3,2.2,Cytoskeletal
0.42,0.43,6.7,7,No,0,4.2,2.5,Cytoskeletal
0.47,0.44,5.3,1.8,No,0,4.7,2.9,Nuclear
